"PartNum","perfscene4lowPE","perfscene4highPE","perfscene5lowPE","perfscene5highPE","perfscene6lowPE","perfscene6lhighPE","perfmediumPE"
1,0.25,0,0.5,0.166666666666667,0.125,0.3,0.305555555555556
2,0.125,0.666666666666667,0.625,0.666666666666667,0.625,0.777777777777778,0.666666666666667
3,0.375,0.25,0.375,0.5,0.5,0.4,0.5
4,0.625,0.25,0.375,0.333333333333333,0.625,0.5,0.694444444444444
6,0.625,0.625,0.75,0.833333333333333,0.625,0.7,0.638888888888889
7,0,0,0,0,0,0,0
8,0.5,0.375,0.625,0.5,0.75,0.7,0.805555555555556
9,0.75,1,1,0.833333333333333,1,0.9,0.916666666666667
10,0.75,0.75,1,0.666666666666667,0.625,0.8,0.833333333333333
11,0.625,0.25,0.5,0.333333333333333,0.5,0.5,0.527777777777778
12,0.5,0.75,0.125,0.833333333333333,0.375,0.2,0.777777777777778
14,0.5,0.75,0.5,0.666666666666667,0.75,0.8,0.472222222222222
15,0.625,0.75,0.875,0.666666666666667,0.875,0.8,0.833333333333333
16,0.375,0.5,0.625,0.666666666666667,0.5,0.4,0.361111111111111
17,0.75,0.875,0.5,0.5,0.625,0.6,0.75
18,0.75,0.25,0.375,0.833333333333333,0.5,0.5,0.722222222222222
19,0,0,0,0,0,0,0
20,0.625,0.625,1,0.333333333333333,0.5,0.8,0.75
21,0.625,0.5,0.5,0.666666666666667,0.625,0.6,0.638888888888889
22,0.375,0.625,0.75,0.333333333333333,0.625,0.5,0.638888888888889
23,0,0.125,0.375,0,0.25,0,0.0277777777777778
24,0.375,0.25,0.375,0.5,0.125,0.5,0.5
25,0.75,0.625,0.875,0.5,0.375,0.6,0.805555555555556
26,0.75,0.375,0.625,0.833333333333333,0.75,0.7,0.833333333333333
27,0.5,0.625,0.625,0.5,0.375,0.5,0.555555555555556
28,0.875,0.75,0.875,0.666666666666667,0.75,0.7,0.777777777777778
29,1,1,0.875,0.833333333333333,0.875,0.9,0.833333333333333
30,0.875,0.75,1,1,1,0.9,0.888888888888889
31,0.375,0.875,0.625,0.333333333333333,0.375,0.7,0.555555555555556
32,1,0.625,0.75,0.833333333333333,0.875,0.6,0.722222222222222
33,0.5,0.875,0.375,0.666666666666667,0.5,0.5,0.777777777777778
34,0.75,0.625,0.875,0.833333333333333,1,1,0.916666666666667
